subject,condition,studyResp,studyResp2,named,afc,whichItem,trial
4,2,3,3,0,1,18,138
4,3,1,1,0,1,137,139
4,1,99999,99999,0,1,135,140
4,1,99999,99999,1,1,16,141
4,1,99999,99999,1,1,44,142
4,2,3,NaN,0,1,123,143
4,3,1,1,0,0,33,144
4,2,3,3,0,0,20,145
4,3,1,1,1,0,21,146
4,3,2,2,0,1,86,147
4,2,3,NaN,0,1,149,148
4,2,3,3,0,0,40,149
4,1,99999,99999,0,1,108,150
4,1,99999,99999,1,1,12,151
4,2,3,3,0,1,174,152
4,1,99999,99999,0,1,169,153
4,1,99999,99999,1,1,131,154
4,3,1,1,0,0,171,155
4,4,3,3,1,1,69,156
4,2,3,3,0,1,24,157
4,1,99999,99999,0,1,172,158
4,2,3,3,0,0,10,159
4,2,3,3,1,1,104,160
4,2,3,3,0,1,54,161
4,4,3,3,1,0,148,162
4,1,99999,99999,0,1,83,163
4,3,1,1,0,1,93,164
4,1,99999,99999,0,1,154,165
4,3,2,1,1,1,98,166
4,3,1,2,1,1,22,167
4,2,3,NaN,1,1,19,168
4,2,3,3,1,1,156,169
4,2,3,3,0,1,166,170
4,3,3,3,1,1,79,171
4,3,1,NaN,1,1,139,172
4,4,1,2,1,1,193,173
4,4,2,3,1,1,6,174
4,2,3,3,1,1,192,175
4,2,3,3,0,1,191,176
4,3,1,1,1,1,49,177
4,1,99999,99999,1,1,153,178
4,1,99999,99999,0,1,41,179
4,4,3,3,1,1,8,180
4,3,2,2,0,1,87,181
4,4,1,2,1,0,194,182
4,3,1,1,0,1,80,183
4,2,3,3,1,1,60,184
4,1,99999,99999,0,1,91,185
4,1,99999,99999,0,1,183,186
4,3,1,1,1,1,157,187
4,3,1,1,0,1,136,188
4,2,3,3,0,0,29,189
4,2,3,NaN,0,1,111,190
4,4,3,3,1,1,38,191
4,1,99999,99999,0,1,143,192
4,1,99999,99999,1,1,27,193
4,3,2,1,0,1,178,194
4,1,99999,99999,1,1,200,195
4,3,1,1,0,1,159,196
4,1,99999,99999,1,1,187,197
4,4,2,3,1,0,36,198
4,4,3,3,1,1,75,199
4,1,99999,99999,1,0,195,200
5,4,3,3,1,1,99,1
5,2,3,3,1,1,182,2
5,1,99999,99999,0,1,106,3
5,3,1,1,0,1,161,4
5,2,3,3,1,1,95,5
5,4,2,2,0,1,139,6
5,1,99999,99999,1,1,124,7
5,1,99999,99999,0,1,93,8
5,4,3,3,0,1,47,9
5,3,1,2,1,1,77,10
5,4,3,3,0,1,76,11
5,4,2,2,1,1,57,12
5,1,99999,99999,0,1,64,13
5,1,99999,99999,1,1,98,14
5,1,99999,99999,1,1,69,15
5,1,99999,99999,0,1,117,16
5,4,3,3,1,1,8,17
5,4,3,3,0,1,166,18
5,4,3,3,1,1,14,19
5,4,2,2,0,1,105,20
5,4,3,3,0,0,168,21
5,2,3,3,0,0,58,22
5,4,3,3,1,1,92,23
5,1,99999,99999,0,1,153,24
5,3,1,1,1,1,164,25
5,1,99999,99999,0,0,9,26
5,1,99999,99999,1,1,16,27
5,2,2,3,0,1,180,28
5,2,3,3,0,1,150,29
5,1,99999,99999,0,0,22,30
